Protocol,Chain,Asset,APY (%),TVL ($M)
aave-v3,Ethereum,WEETH,0.0,4606.3
aave-v3,Ethereum,WSTETH,0.0,3996.9
sparklend,Ethereum,WSTETH,0.0,1338.4
aave-v3,Ethereum,RSETH,0.0,1196.0
aave-v3,Ethereum,USDT,2.37,1022.2
spark-savings,Ethereum,USDT,3.16,870.8
aave-v3,Ethereum,USDC,2.35,736.4
aave-v3,Ethereum,WETH,1.77,661.9
morpho-v1,Base,STEAKUSDC,4.49,496.1
morpho-v1,Ethereum,WSTETH,0.0,472.5
spark-savings,Ethereum,USDC,3.75,409.9
aave-v3,Ethereum,OSETH,0.0,376.6
morpho-v1,Base,GTUSDCP,4.5,370.5
morpho-v1,Base,STEAKUSDC,4.5,271.6
aave-v3,Ethereum,WSTETH,0.03,213.2
morpho-v1,Ethereum,STEAKUSDC,4.49,190.0
aave-v3,Ethereum,SYRUPUSDT,0.0,168.5
morpho-v1,Ethereum,SYRUPUSDC,0.0,157.9
aave-v3,Base,WEETH,0.0,145.3
aave-v3,Arbitrum,WEETH,0.0,142.6
morpho-v1,Ethereum,STEAKUSDT,2.47,142.6
morpho-v1,Ethereum,SKYMONEYUSDTSAVINGS,3.69,129.8
aave-v3,Base,SYRUPUSDC,0.0,128.9
compound-v3,Ethereum,WETH,0.0,125.3
morpho-v1,Ethereum,BBQUSDCRESERVOIR,3.51,124.4
morpho-v1,Base,WETH,0.0,119.0
morpho-v1,Ethereum,GTUSDC,4.5,111.3
compound-v3,Ethereum,USDC,2.66,109.9
morpho-v1,Ethereum,WSTETH,0.0,108.8
morpho-v1,Ethereum,SYRUPUSDC,0.0,107.3
compound-v3,Ethereum,WSTETH,0.0,101.0
aave-v3,Ethereum,RETH,0.0,94.4
aave-v3,Arbitrum,USDC,1.64,93.3
aave-v3,Ethereum,USDTB,1.36,91.4
morpho-v1,Ethereum,WSTETH,0.0,91.2
aave-v3,Arbitrum,WSTETH,0.0,90.5
aave-v3,Arbitrum,EZETH,0.0,89.4
morpho-v1,Ethereum,AA-FALCONXUSDC,0.0,80.3
aave-v3,Base,USDC,2.75,78.7
morpho-v1,Ethereum,WEETH,0.0,78.0
aave-v3,Ethereum,TETH,0.0,75.1
aave-v3,Base,WRSETH,0.0,72.2
compound-v3,Ethereum,WSTETH,0.0,70.9
aave-v3,Arbitrum,WETH,1.5,68.3
compound-v3,Ethereum,EZETH,0.0,66.9
compound-v3,Ethereum,USDT,2.58,66.2
sparklend,Ethereum,USDT,2.35,65.7
