pool_id,Protocol,Chain,Asset,APY (%),TVL ($M),TVL Score,Avg APY 30d,Volatility,Sharpe
db678df9-3281-4bc2-a8bb-01160ffd6d48,aave-v3,Ethereum,WEETH,0.0,4472.7,10,0.0,0.0,
e6435aae-cbe9-4d26-ab2c-a4d533db9972,aave-v3,Ethereum,WSTETH,0.0,3909.7,10,0.0,0.0,
3b45941c-16cb-48c5-a490-16c6c4f1d86a,sparklend,Ethereum,WSTETH,0.0,1343.8,10,0.0,0.0,
d3be212c-f337-40e2-87fc-fb636a3de38f,aave-v3,Ethereum,RSETH,0.0,1200.2,10,0.0,0.0,
f981a304-bb6c-45b8-b0c5-fd2f515ad23a,aave-v3,Ethereum,USDT,2.41,965.9,10,2.08,0.21,9.9
a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,spark-savings,Ethereum,USDT,3.2,870.3,10,3.21,0.3,10.7
e880e828-ca59-4ec6-8d4f-27182a4dc23d,aave-v3,Ethereum,WETH,1.73,752.9,10,1.69,0.05,33.8
aa70268e-4b52-42bf-a116-608b370f9501,aave-v3,Ethereum,USDC,2.44,684.4,10,2.32,0.2,11.6
7820bd3c-461a-4811-9f0b-1d39c1503c3f,morpho-v1,Base,STEAKUSDC,3.87,513.8,10,3.86,0.28,13.79
4ce0c458-2171-463b-92ce-458afe367a4e,morpho-v1,Ethereum,WSTETH,0.0,475.7,10,0.0,0.0,
c5c74dd1-995c-4445-9d84-3e710bad7d52,spark-savings,Ethereum,USDC,3.75,405.6,10,3.75,0.0,
e043585f-923f-4009-934f-005232f34a27,aave-v3,Ethereum,OSETH,0.0,379.9,10,0.0,0.0,
e0672197-9f3e-4414-bca5-e6b4c90aa469,morpho-v1,Base,GTUSDCP,3.87,368.5,10,3.86,0.27,14.3
81ae8812-f04f-4f6e-9d71-ee5778f3a178,morpho-v1,Base,STEAKUSDC,3.87,271.3,10,3.86,0.27,14.3
d541708e-1283-4feb-bc7a-457fc5f8db2c,aave-v3,Ethereum,WSTETH,0.03,214.7,10,0.04,0.0,
b55f43a8-f444-4cd8-a3a4-0a4e786ba566,morpho-v1,Ethereum,STEAKUSDC,2.43,186.9,10,2.76,0.78,3.54
a79fdd93-2747-43ee-bf53-0c372192964d,aave-v3,Ethereum,SYRUPUSDT,0.0,168.5,10,0.0,0.0,
